Time,WaterQ,WaterTemp,pH,DO,C,Turb,AmmoniaN,TP,TN,COD,InstanF,CumF,IntervalF,NitrateN
2024-07-16T00:00:00Z,Ⅴ类,22.6,7.52,3.3,309.8,4.6,0.103,0.313,2.63,7.6,3053.47,2137400.25,1990.75,2.28
2024-07-14T00:00:00Z,劣Ⅴ类,23.6,7.29,3.48,387.5,4.4,0.137,0.427,1.04,17.8,2227.16,2121701.5,216.5,0.53
2024-07-12T00:00:00Z,劣Ⅴ类,22.5,7.25,2.96,381.7,4,0.174,0.429,0.93,16.1,498.67,2115436,957.25,0.41
2024-07-09T00:00:00Z,劣Ⅴ类,22.5,7.23,2.03,475.9,7,0.408,0.43,1.41,23.8,1629.89,2099337,790,0.46
2024-07-06T00:00:00Z,劣Ⅴ类,22.1,7.31,2.06,594.5,9.8,3.433,0.47,6.6,30.1,2491.31,2084336.12,2477.37,0.94
2024-07-05T00:00:00Z,Ⅴ类,22,7.25,2.29,570.6,7,0.468,0.355,2.77,26.4,2837.7,2078641.88,1357.76,1.72
2024-07-02T00:00:00Z,劣Ⅴ类,20.9,7.36,3.09,505.4,10.4,0.209,0.408,6.47,32.9,1073.02,2074552,387.38,5.68
2024-06-30T00:00:00Z,Ⅴ类,21.2,7.29,2.54,405.2,10.7,0.158,0.365,1.72,21.4,1460.96,2073883.88,838.63,1.08
2024-06-25T00:00:00Z,Ⅳ类,20.4,7.4,4.24,232.8,13.4,0.251,0.261,2.94,14,783.86,2067510.25,645.63,2.26
2024-06-24T00:00:00Z,劣Ⅴ类,24.9,7.19,2.18,588.4,4,0.349,0.61,1.49,30.4,6321.89,2056420.12,11676.7,0.41
2024-06-23T00:00:00Z,劣Ⅴ类,23.7,7.21,2.25,545.9,3.8,0.485,0.601,1.56,30.4,4408.08,2025063,3601.88,0.34
2024-06-22T00:00:00Z,劣Ⅴ类,24.2,7.24,2.33,473.7,3.1,0.479,0.611,1.49,27.9,3357.07,2009550.75,12881.2,0.33
2024-06-21T00:00:00Z,劣Ⅴ类,22,7.2,2.3,402.5,2.9,0.601,0.543,1.52,21.2,640.34,1980115.62,2163.12,0.38
2024-06-20T00:00:00Z,劣Ⅴ类,22.4,7.28,2.6,387.9,3.8,0.516,0.446,2.17,21.7,8262.67,1967849.25,12640.2,1.06
2024-06-19T00:00:00Z,劣Ⅴ类,22.9,7.24,2.28,499.6,3.6,1.02,0.608,2.14,28.1,2681.32,1937363.62,8774.12,0.43
2024-06-18T00:00:00Z,劣Ⅴ类,23.7,7.3,2.5,425.3,3.5,1.346,0.551,2.43,25.5,1731.78,1909112.75,1603.25,0.51
2024-06-17T00:00:00Z,劣Ⅴ类,23.5,7.28,2.34,416,3.3,2.281,0.466,3.79,18.9,7245.56,1893390.38,18634.4,1.01
2024-06-16T00:00:00Z,劣Ⅴ类,22.7,7.37,2.16,456.8,6.2,5.455,0.502,7.48,20.5,2497.01,1873501.12,2301.24,0.88
2024-05-31T00:00:00Z,劣Ⅴ类,21.4,7.23,3.06,27.7,6.5,0.926,0.6,2.59,38,425.66,1836353.5,156.75,0.71
2024-05-28T00:00:00Z,劣Ⅴ类,21.5,7.19,3.02,380.2,10.3,0.447,0.441,3.28,31.1,2241.14,1825963.88,3048.5,2
2024-05-24T00:00:00Z,Ⅳ类,22.7,7.33,3.49,336.3,8.5,0.185,0.184,4.8,5.8,381.3,1805139.38,5323.5,4.29
2024-05-23T00:00:00Z,Ⅳ类,18.4,7.45,4.54,305.3,9.1,0.131,0.185,4.3,3.6,767.58,1795171.38,220,3.88
2024-05-22T00:00:00Z,劣Ⅴ类,18.2,7.31,4.4,452.8,8.5,0.334,0.226,10.95,129.7,4147.12,1787418.75,1623.13,NA
2024-05-21T00:00:00Z,劣Ⅴ类,16.9,7.42,5.34,777,14.7,0.948,0.457,34.43,36,1946.32,1785001.25,241.13,NA
2024-05-09T00:00:00Z,Ⅳ类,19.3,8.24,6.95,204.7,8,0.056,0.249,1.02,9.6,540,1781345.88,809.76,0.61
2024-05-02T00:00:00Z,劣Ⅴ类,18.5,9.01,8.59,193.2,6.2,NA,0.198,1.28,8.9,768.78,1779124.5,1862.88,0.94
2024-04-25T00:00:00Z,Ⅳ类,18.5,8.77,6.94,230.9,6.3,0.053,0.29,1.27,9.8,181.46,1772751,692.5,0.46
2024-04-22T00:00:00Z,Ⅳ类,17.1,7.67,4.05,261,10,0.396,0.176,1.78,8.5,361.87,1770818.88,234.26,0.72
2024-04-15T00:00:00Z,Ⅴ类,18.6,7.57,3.57,289.6,5.6,0.512,0.329,2.09,15.6,243.82,1768600.12,51.5,0.87
