Time,WaterQ,WaterTemp,pH,DO,C,Turb,AmmoniaN,TP,TN,COD,CumF,InstanF,IntervalF,NitrateN,Rainfall
2024-04-20T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1942596.5,169.571,132.62,NA,NA
2023-12-26T03:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1754108.38,150.153,166.26,NA,NA
2023-12-26T02:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1753942.12,172.056,171.87,NA,NA
2023-12-26T01:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1753770.25,169.571,171.25,NA,NA
2023-12-26T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1753599,162.192,125.38,NA,NA
2023-11-30T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1745147.75,753.35,776.13,NA,NA
2023-11-30T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1744371.62,981.68,810.74,NA,NA
2023-11-30T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1743560.88,674.222,724.76,NA,NA
2023-11-30T18:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1742836.12,770.426,776.87,NA,NA
2023-11-30T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1742059.25,719.633,730.37,NA,NA
2023-11-30T16:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1741328.88,711.294,708.88,NA,NA
2023-11-30T15:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1740620,723.815,735.88,NA,NA
2023-11-30T14:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1739884.12,740.638,620.5,NA,NA
2023-11-30T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1739263.62,571.345,687.12,NA,NA
2023-11-30T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1738576.5,779.017,889.38,NA,NA
2023-11-30T11:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1737687.12,1005.29,885.24,NA,NA
2023-11-30T10:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1736801.88,774.717,613.76,NA,NA
2023-11-25T10:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1731340.88,150.153,105.5,NA,NA
2023-11-20T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1725097,162.192,159.88,NA,NA
2023-11-20T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1724937.12,157.337,159.37,NA,NA
