Time,WaterQ,WaterTemp,pH,DO,C,Turb,AmmoniaN,TP,TN,COD,InstanF,CumF,IntervalF,NitrateN,Rainfall
2024-07-18T15:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,520718.97,410.25,NA,NA
2024-07-18T14:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,520308.72,410.38,NA,NA
2024-07-18T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,519898.34,409.03,NA,NA
2024-07-18T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,519489.31,370.25,NA,NA
2024-07-18T11:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,519119.06,401.59,NA,NA
2024-07-18T10:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,518717.47,330.56,NA,NA
2024-07-18T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,518386.91,250.63,NA,NA
2024-07-17T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,517054.78,305.16,NA,NA
2024-07-17T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,516749.62,318.24,NA,NA
2024-07-17T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,516431.38,367.16,NA,NA
2024-07-17T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,516064.22,316.38,NA,NA
2024-07-17T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,515295.09,410.84,NA,NA
2024-07-17T11:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,514884.25,410.37,NA,NA
2024-07-17T10:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,514473.88,322.35,NA,NA
2024-07-17T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,514151.53,151.91,NA,NA
2024-07-16T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,513292.66,306.5,NA,NA
2024-07-16T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,512986.16,332.04,NA,NA
2024-07-16T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,512300.41,399.66,NA,NA
2024-07-16T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,511900.75,367.34,NA,NA
2024-07-16T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,511190.94,393.16,NA,NA
2024-07-16T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,510797.78,410.28,NA,NA
2024-07-16T11:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,510387.5,365.91,NA,NA
2024-07-16T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,509822.62,203.31,NA,NA
2024-07-15T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,509105.09,264.09,NA,NA
2024-07-15T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,508841,290.19,NA,NA
2024-07-15T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,508550.81,311.87,NA,NA
2024-07-15T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,508238.94,399.78,NA,NA
2024-07-15T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,507839.16,294.78,NA,NA
2024-07-15T15:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,507226.97,410.28,NA,NA
2024-07-15T14:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,506816.69,410.38,NA,NA
2024-07-15T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,506406.31,200.12,NA,NA
2024-07-15T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,506206.19,236.38,NA,NA
2024-07-15T01:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,505054.25,247.34,NA,NA
2024-07-15T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,504806.91,228.5,NA,NA
2024-07-14T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,504578.41,301.03,NA,NA
2024-07-14T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,504277.38,335.47,NA,NA
2024-07-14T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,503941.91,316.79,NA,NA
2024-07-14T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,503625.12,378.46,NA,NA
2024-07-14T14:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,503030.72,357.34,NA,NA
2024-07-14T11:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,501875.88,225,NA,NA
2024-07-14T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,501011.78,223.5,NA,NA
2024-07-14T04:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,500373.34,226.93,NA,NA
2024-07-14T03:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,500146.41,239.79,NA,NA
2024-07-14T02:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,499906.62,266.81,NA,NA
2024-07-14T01:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,499639.81,318.93,NA,NA
2024-07-14T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,499320.88,389.19,NA,NA
2024-07-13T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,498931.69,409.35,NA,NA
2024-07-13T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,498522.34,410.06,NA,NA
2024-07-13T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,498112.28,408.66,NA,NA
2024-07-13T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,497703.62,243.24,NA,NA
2024-07-13T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,497460.38,342.32,NA,NA
2024-07-13T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,496961.88,221.82,NA,NA
2024-07-13T14:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,496577.25,410.25,NA,NA
2024-07-13T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,496167,410.97,NA,NA
2024-07-13T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,495756.03,410.25,NA,NA
2024-07-13T11:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,495345.78,330.69,NA,NA
2024-07-13T10:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,495015.09,325.31,NA,NA
2024-07-13T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,494689.78,134.12,NA,NA
2024-07-12T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,493578.31,410.37,NA,NA
2024-07-12T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,493167.94,410.97,NA,NA
2024-07-12T18:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,492756.97,410.25,NA,NA
2024-07-12T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,492346.72,410.28,NA,NA
2024-07-12T16:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,491936.44,274.47,NA,NA
2024-07-12T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.497,491149.09,260.75,NA,NA
