Time,WaterQ,WaterTemp,pH,DO,C,Turb,AmmoniaN,TP,TN,COD,InstanF,IntervalF,CumF,NitrateN,Rainfall
2024-05-25T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.13,591.5,1760647.25,NA,NA
2024-05-24T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.875,561.5,1760055.75,NA,NA
2024-05-20T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211.74,162.63,1751295.38,NA,NA
2024-05-20T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890.315,62.62,1750356.5,NA,NA
2024-03-31T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.779,624.75,1583556.75,NA,NA
2024-03-22T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.315,597.24,1548468.12,NA,NA
2024-01-30T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.315,581.24,1313328.62,NA,NA
2024-01-30T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.688,554.12,1312168.62,NA,NA
2024-01-30T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.315,588.5,1311027,NA,NA
2024-01-16T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655.708,623.25,1258104,NA,NA
2024-01-16T06:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.779,615.13,1257480.75,NA,NA
2024-01-16T04:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.834,614.5,1256245.75,NA,NA
2024-01-16T03:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.031,607.63,1255631.25,NA,NA
2024-01-16T01:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.834,617.75,1254408.75,NA,NA
2024-01-15T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.727,605.38,1253183.38,NA,NA
2024-01-15T18:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.834,150.25,1250163.25,NA,NA
2024-01-14T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.688,610.74,1247948.12,NA,NA
2024-01-14T05:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.727,612.12,1246113,NA,NA
2024-01-14T02:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.688,610.75,1244280,NA,NA
2024-01-14T01:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655.708,613,1243669.25,NA,NA
2024-01-14T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.688,608,1243056.25,NA,NA
2024-01-13T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.315,620.75,1241833.5,NA,NA
2024-01-13T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655.708,616.87,1241212.75,NA,NA
2024-01-13T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.031,611.87,1239980.25,NA,NA
2024-01-13T18:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.315,395.88,1239368.38,NA,NA
2024-01-11T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.688,596,1226317.12,NA,NA
2024-01-11T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.688,595.24,1225131.62,NA,NA
2024-01-05T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.315,585.62,1202846.12,NA,NA
2024-01-05T03:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.727,589.5,1200490.88,NA,NA
2024-01-04T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.688,642,1194927.88,NA,NA
2024-01-04T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.727,644.76,1194285.88,NA,NA
2024-01-04T06:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675.938,641.24,1193641.12,NA,NA
2024-01-04T05:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.727,638.26,1192999.88,NA,NA
2024-01-04T04:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.031,643,1192361.62,NA,NA
2024-01-04T03:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.688,649.62,1191718.62,NA,NA
2024-01-04T02:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675.938,641,1191069,NA,NA
2024-01-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.688,649.63,1189779.75,NA,NA
2024-01-03T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.834,655.12,1189130.12,NA,NA
2024-01-03T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.779,651.88,1188475,NA,NA
