Time,WaterQ,WaterTemp,FlowR,pH,DO,C,Turb,AmmoniaN,TP,TN,COD,NitrateN,InstanF,CumF,IntervalF
2023-10-21T07:00:00Z,Ⅳ类,16.7,NA,7.88,3.71,421.6,0,0.083,0.222,3.73,4.1,3.22,60.9,243367088,526416
2023-10-20T19:00:00Z,Ⅳ类,18.5,NA,7.9,3.28,443,14.6,0.157,0.249,4.1,3.2,3.49,57.4,242789424,377088
2023-10-20T15:00:00Z,Ⅳ类,18.7,NA,7.91,4.27,439.3,0,0.094,0.239,4.24,NA,3.65,74.2,242412336,513840
2023-10-20T11:00:00Z,Ⅳ类,17.4,NA,7.9,4.43,435.2,0,0.162,0.234,4.21,NA,3.56,83.4,241898496,611072
2023-10-20T07:00:00Z,Ⅳ类,16.7,NA,7.88,3.64,440.1,0,0.105,0.236,3.92,4.5,3.34,69.1,241287424,989104
2023-10-19T19:00:00Z,Ⅳ类,18.6,NA,7.92,3.19,458.5,0,0.114,0.267,4.37,6,3.73,89.8,239945168,819632
2023-10-19T15:00:00Z,Ⅳ类,18.8,NA,7.87,4.04,466.2,0,0.104,0.27,4.49,5.4,3.84,89.6,239125536,850288
2023-10-19T11:00:00Z,Ⅳ类,17.4,NA,7.84,3.92,466.3,0,0.154,0.253,4.66,5.2,3.98,89.6,238275248,629888
2023-10-19T07:00:00Z,Ⅳ类,16.8,NA,7.85,3.39,464.2,0,0.105,0.256,4.57,7.5,3.99,100.8,237645360,2410900
2023-10-18T23:00:00Z,Ⅴ类,17.8,NA,7.8,2.67,473.8,0,0.177,0.284,4.86,5.5,4.11,106.3,235234464,1251410
2023-10-18T19:00:00Z,Ⅴ类,18.3,NA,7.84,3.09,482.3,2.1,0.212,0.313,5.1,7.2,4.26,104,233983056,1039920
2023-10-18T15:00:00Z,Ⅳ类,18.9,NA,7.83,3.66,478.1,0,0.13,0.286,4.98,NA,4.21,111.9,232943136,861600
2023-10-18T11:00:00Z,Ⅳ类,17.6,NA,7.82,4.14,475.4,0,0.221,0.278,5.12,5.2,4.33,115.1,232081536,1481380
2023-10-18T07:00:00Z,Ⅳ类,16.8,NA,7.83,3.35,471.4,0,0.135,0.283,5.07,7.5,4.3,121.4,230600160,2692700
2023-10-17T23:00:00Z,Ⅴ类,18.1,NA,7.8,2.79,469.2,0,0.201,0.275,5.42,4.2,4.61,118.6,227907456,1480780
2023-10-17T19:00:00Z,Ⅳ类,18.9,NA,7.85,3.39,471.7,0,0.121,0.281,5.55,6.3,4.79,113.9,226426672,1598720
2023-10-17T15:00:00Z,Ⅳ类,19.1,NA,7.87,4.19,469.2,0,0.12,0.275,5.6,5.4,4.86,127.8,224827952,1510860
2023-10-17T11:00:00Z,劣Ⅴ类,17.8,NA,7.85,4.28,463,0,0.151,0.281,5.53,3.9,4.83,121.2,223317088,1706420
2023-10-17T07:00:00Z,Ⅳ类,17.2,NA,7.87,3.72,466.9,0,0.154,0.29,5.36,5.9,4.67,127.4,221610672,2246930
2023-10-16T19:00:00Z,Ⅴ类,19.2,NA,7.81,2.7,533.1,0,0.63,0.331,6.7,9.2,5.39,133.7,219188576,1084000
2023-10-16T15:00:00Z,Ⅴ类,19.4,NA,7.82,3.61,519.5,0,0.147,0.302,6.25,7.4,5.42,78.9,218104576,588064
2023-10-16T11:00:00Z,Ⅴ类,18.2,NA,7.8,3.74,518.1,0,0.254,0.306,6.47,7.7,5.45,127.6,217516512,1610980
2023-10-16T07:00:00Z,Ⅳ类,17.3,NA,7.83,3.42,514.1,0,0.13,0.297,6.35,8.9,5.54,123.3,215905536,2882400
2023-10-15T23:00:00Z,Ⅴ类,18.5,NA,7.8,2.82,510.5,0,0.206,0.3,6.07,5,5.22,118.8,213023136,1195700
2023-10-15T19:00:00Z,Ⅴ类,19.3,NA,7.8,2.95,527.1,3.5,0.159,0.329,6.5,8,5.59,119.4,211827440,1285200
