站点,样品类型,样品ID,时间,水温(℃),pH 值(无量纲),溶解氧(mg/L),电导率(uS/cm),浊度(NTU),氨氮(mg/L),总磷(mg/L),总氮(mg/L),化学需氧量(mg/L),硝酸盐氮(mg/L),透明度(cm)
Name,Type,ID,Time,WaterTemp,pH,DO,C,Turb,AmmoniaN,TP,TN,COD,NitrateN,
5,水样,nymy24052028,2024/5/27 08:00,,,,,,1.476,0.268,9.54,120.1,5.3,
5,水样,nymy24052027,2024/5/26 08:00,,,,,,2.101,0.477,16.26,134.5,,
5,水样,nymy24052030,2024/5/25 08:00,,,,,,0.489,0.213,12.13,95.3,9.46,
5,水样,nymy24052026,2024/5/24 08:00,,,,,,0.072,0.168,6.8,103.5,5.96,
5,水样,nymy24052031,2024/5/23 08:00,,,,,,,0.157,15.02,66.1,,
5,水样,nymy24052029,2024/5/22 08:00,,,,,,,0.339,19.31,99.4,,
5,水样,nymy2402469,2024/5/10 10:31,,,,,,,0.298,,3.0 (L),1.25,
5,水样,NYMY2402485,2024/3/13 08:00,,,,,,0.266,0.347,,16.8,,
5,水样,NYMY2402486,2024/3/12 08:00,,,,,,0.010 (L),0.197,1.67,16,,
5,水样,NYMY2402487,2024/3/11 08:00,,,,,,0.185,0.216,3.12,13.5,,
5,水样,NYMY2402488,2024/3/10 08:00,,,,,,0.175,0.185,1.26,13.8,,
5,水样,NYMY23112829,2023/12/13 08:00,,,,,,0.010 (L),0.137,,,,
5,水样,NYMY23112824,2023/12/12 08:00,,,,,,0.073,0.236,,,,
5,水样,NYMY23112825,2023/12/11 08:00,,,,,,0.053,0.286,,,,
5,水样,NYMY23112826,2023/12/10 08:00,,,,,,0.010 (L),0.218,,,,
5,水样,NYMY23112827,2023/12/9 08:00,,,,,,0.010 (L),0.233,,,,
5,水样,NYMY23112828,2023/12/8 08:00,,,,,,0.014,0.119,,,,
5,水样,NYMY23111936,2023/12/6 08:00,,,,,,0.010 (L),0.123,0.88,7.1,1.05,
5,水样,NYMY23111937,2023/12/5 08:00,,,,,,0.010 (L),0.185,0.32,8.2,0.46,
5,水样,NYMY23111992,2023/12/4 08:00,,,,,,0.019,0.164,0.94,8.6,1.17,
5,水样,NYMY23111991,2023/12/3 08:00,,,,,,0.010 (L),0.112,0.31,6.9,0.63,
5,水样,NYMY23111934,2023/12/2 08:00,,,,,,0.010 (L),0.109,0.61,8.2,0.82,
5,水样,NYMY231013144,2023/11/21 08:00,,,,,,0.181,0.149,3.78,6.3,3.28,
5,水样,NYMY23111377,2023/11/20 08:00,,,,,,0.010 (L),0.154,4.28,7.5,3.84,
5,水样,NYMY23111378,2023/11/19 08:00,,,,,,0.021,0.232,5.34,10.7,4.75,
5,水样,NYMY23111379,2023/11/18 08:00,,,,,,0.01,0.5,1.92,17.4,1.56,
5,水样,NYMY23111380,2023/11/17 16:35,,,,,,0.058,0.262,1.07,10.5,0.83,
